constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,others_voteshare,winner
1,0.4888,0.1601,0.2052,0.1459,tmc
2,0.3891,0.0664,0.2422,0.3024,tmc
3,0.3937,0.02,0.2355,0.3508,tmc
4,0.3335,0.0963,0.1769,0.3933,other
5,0.3625,0.1465,0.2484,0.2425,tmc
6,0.4639,0.1381,0.2256,0.1724,tmc
7,0.3452,0.02,0.2227,0.4121,other
8,0.309,0.1558,0.1741,0.3611,other
9,0.3963,0.1224,0.1772,0.3041,tmc
10,0.4427,0.0655,0.1868,0.305,tmc
11,0.3357,0.0682,0.1124,0.4836,other
12,0.3304,0.082,0.1836,0.4039,other
13,0.4261,0.0804,0.2084,0.2851,tmc
14,0.3789,0.0733,0.2009,0.3469,tmc
15,0.4159,0.152,0.1801,0.252,tmc
16,0.3432,0.0535,0.2548,0.3485,other
17,0.4359,0.1174,0.2751,0.1716,tmc
18,0.4012,0.0754,0.2501,0.2732,tmc
19,0.2073,0.1828,0.1843,0.4255,other
20,0.3171,0.1648,0.1308,0.3873,other
21,0.3571,0.1807,0.2681,0.1941,tmc
22,0.3577,0.1256,0.186,0.3307,tmc
23,0.342,0.1253,0.1808,0.3518,other
24,0.4152,0.02,0.1558,0.409,tmc
25,0.4565,0.0202,0.1819,0.3414,tmc
26,0.3552,0.1734,0.1565,0.315,tmc
27,0.4305,0.1075,0.2465,0.2155,tmc
28,0.4665,0.02,0.2331,0.2805,tmc
29,0.3383,0.1143,0.2373,0.3101,tmc
30,0.3857,0.1315,0.2375,0.2453,tmc
31,0.4479,0.1531,0.1324,0.2666,tmc
32,0.2124,0.0592,0.1889,0.5395,other
33,0.3154,0.2078,0.2328,0.2441,tmc
34,0.3948,0.0826,0.2401,0.2825,tmc
35,0.3577,0.0816,0.2812,0.2796,tmc
36,0.4596,0.1501,0.182,0.2083,tmc
37,0.2863,0.1067,0.2475,0.3595,other
38,0.4255,0.1371,0.258,0.1794,tmc
39,0.3996,0.0797,0.2948,0.2258,tmc
40,0.3785,0.02,0.2671,0.3345,tmc
41,0.4695,0.1462,0.1051,0.2792,tmc
42,0.4805,0.0814,0.2253,0.2127,tmc
43,0.2653,0.1142,0.263,0.3575,other
44,0.379,0.081,0.2269,0.3131,tmc
45,0.3603,0.0336,0.1853,0.4208,other
46,0.4096,0.1538,0.2923,0.1443,tmc
47,0.2809,0.0405,0.2161,0.4624,other
48,0.5057,0.1193,0.1569,0.2181,tmc
49,0.3027,0.1702,0.1696,0.3574,other
50,0.4329,0.0314,0.1926,0.343,tmc
51,0.3218,0.2003,0.2443,0.2336,tmc
52,0.3351,0.096,0.1628,0.406,other
53,0.4105,0.153,0.2763,0.1602,tmc
54,0.4004,0.0543,0.2141,0.3312,tmc
55,0.3398,0.02,0.3055,0.3348,tmc
56,0.5068,0.1116,0.2351,0.1465,tmc
57,0.297,0.1727,0.3147,0.2156,left
58,0.3323,0.1493,0.2573,0.2612,tmc
59,0.4324,0.0824,0.2608,0.2244,tmc
60,0.4022,0.1902,0.2515,0.1561,tmc
61,0.3121,0.0715,0.2384,0.3779,other
62,0.3857,0.1011,0.294,0.2193,tmc
63,0.2592,0.1949,0.2225,0.3234,other
64,0.3946,0.0573,0.2524,0.2957,tmc
65,0.2755,0.1936,0.2505,0.2803,other
66,0.3926,0.1196,0.328,0.1598,tmc
67,0.3,0.1683,0.2132,0.3186,other
68,0.2656,0.0784,0.3901,0.2659,left
69,0.3593,0.0932,0.2641,0.2834,tmc
70,0.3976,0.0854,0.3599,0.1571,tmc
71,0.3488,0.1164,0.2833,0.2514,tmc
72,0.3776,0.1592,0.3391,0.1241,tmc
