constituency_id,tmc_voteshare,bjp_voteshare,left_voteshare,others_voteshare,winner
1,0.4267,0.152,0.3251,0.0962,tmc
2,0.4044,0.0643,0.2944,0.2369,tmc
3,0.2542,0.0231,0.2796,0.4431,other
4,0.3647,0.2012,0.3385,0.0955,tmc
5,0.4413,0.1267,0.3026,0.1295,tmc
6,0.3328,0.0873,0.3643,0.2156,left
7,0.3929,0.1086,0.2964,0.2021,tmc
8,0.4419,0.0694,0.3377,0.151,tmc
9,0.3441,0.0229,0.2995,0.3335,tmc
10,0.4259,0.0854,0.2569,0.2318,tmc
11,0.4026,0.0333,0.4,0.1641,tmc
12,0.3633,0.1079,0.3391,0.1897,tmc
13,0.4148,0.0459,0.4,0.1392,tmc
14,0.3909,0.02,0.3369,0.2522,tmc
15,0.3218,0.0258,0.3137,0.3386,other
16,0.204,0.1379,0.3304,0.3277,left
17,0.3455,0.02,0.3635,0.271,left
18,0.3107,0.0868,0.3164,0.286,left
19,0.3682,0.0407,0.3289,0.2622,tmc
20,0.2874,0.0558,0.3836,0.2732,left
21,0.2352,0.0246,0.36,0.3803,other
22,0.3091,0.1231,0.2872,0.2806,tmc
23,0.4178,0.02,0.3597,0.2026,tmc
24,0.3286,0.0686,0.3164,0.2864,tmc
25,0.4447,0.088,0.3967,0.0706,tmc
26,0.3265,0.0282,0.2215,0.4237,other
27,0.4157,0.0419,0.3379,0.2044,tmc
28,0.3728,0.0203,0.3584,0.2484,tmc
29,0.3575,0.02,0.3048,0.3177,tmc
30,0.3323,0.1355,0.3463,0.1859,left
31,0.3059,0.1187,0.3179,0.2575,left
32,0.2228,0.02,0.2689,0.4883,other
33,0.4872,0.0251,0.2727,0.215,tmc
34,0.3343,0.1019,0.2589,0.3049,tmc
35,0.3401,0.1345,0.32,0.2053,tmc
36,0.3878,0.048,0.3483,0.2159,tmc
37,0.3258,0.0322,0.2799,0.3622,other
38,0.4209,0.02,0.3325,0.2265,tmc
39,0.4327,0.058,0.2731,0.2362,tmc
40,0.51,0.0994,0.3562,0.0344,tmc
41,0.3491,0.1488,0.3753,0.1267,left
42,0.3667,0.1258,0.3151,0.1924,tmc
43,0.3527,0.02,0.2811,0.3462,tmc
44,0.351,0.02,0.3493,0.2797,tmc
45,0.4005,0.098,0.2837,0.2178,tmc
46,0.3472,0.0631,0.3035,0.2862,tmc
47,0.171,0.0401,0.3109,0.4779,other
48,0.3076,0.0254,0.2865,0.3805,other
49,0.3771,0.124,0.2921,0.2068,tmc
50,0.4149,0.05,0.2966,0.2385,tmc
51,0.3,0.02,0.2994,0.3806,other
52,0.351,0.0465,0.3469,0.2555,tmc
53,0.446,0.0948,0.4,0.0593,tmc
54,0.276,0.0624,0.3299,0.3317,other
55,0.2686,0.1107,0.4,0.2208,left
56,0.3488,0.0637,0.4,0.1875,left
57,0.2054,0.091,0.4,0.3036,left
58,0.2659,0.0744,0.4,0.2596,left
59,0.3462,0.077,0.4,0.1768,left
60,0.334,0.02,0.4,0.246,left
61,0.428,0.0851,0.4,0.0869,tmc
62,0.3245,0.02,0.4,0.2555,left
63,0.3247,0.0443,0.4,0.231,left
64,0.2111,0.0211,0.4,0.3678,left
65,0.183,0.1041,0.4,0.3129,left
66,0.2721,0.0963,0.4,0.2316,left
67,0.2483,0.0604,0.3729,0.3185,left
68,0.2845,0.0398,0.4,0.2756,left
69,0.2678,0.0828,0.4,0.2494,left
70,0.4362,0.083,0.4,0.0808,tmc
71,0.3252,0.02,0.4,0.2548,left
72,0.4256,0.0552,0.4,0.1193,tmc
73,0.3169,0.0947,0.4,0.1884,left
74,0.1958,0.0701,0.4,0.334,left
75,0.3544,0.0751,0.4,0.1704,left
76,0.2714,0.0483,0.4,0.2803,left
77,0.3972,0.0272,0.4,0.1756,left
78,0.3444,0.02,0.4,0.2356,left
79,0.2343,0.1038,0.4,0.2619,left
80,0.3856,0.02,0.4,0.1944,left
81,0.3578,0.1164,0.4,0.1258,left
82,0.3208,0.02,0.3056,0.3536,other
83,0.3496,0.02,0.3476,0.2828,tmc
84,0.3929,0.02,0.346,0.2411,tmc
85,0.3659,0.068,0.3855,0.1805,left
86,0.346,0.0274,0.4,0.2266,left
87,0.45,0.0753,0.2636,0.211,tmc
88,0.3589,0.02,0.3787,0.2424,left
89,0.3965,0.0224,0.3761,0.2051,tmc
